Code,Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
TG-000001,BNP (Bore Pile),BNP (Bore Pile),,,Pet Lork Sang,,,,Cambodia,,,,,,,
TG-000001A,BNP (Bore Pile),BNP (Bore Pile),,,Chbar Ampov,,,,Cambodia,,,,,,,
TG-000001B,BNP (Bore Pile),BNP (Bore Pile),,,Phsar Depo,,,,Cambodia,,,,,,,
TG-000001C,BNP (Bore Pile),BNP (Bore Pile),,,Pet Chen,,,,Cambodia,,,,,,,
TG-000001D,BNP (Bore Pile),BNP (Bore Pile),,,Chroy Changva,,,,Cambodia,,,,,,,
TG-000001E,BNP (Bore Pile),BNP (Bore Pile),,,Pet Russy,,,,Cambodia,,,,,,,
TG-000001F,BNP (Bore Pile),BNP (Bore Pile),,,Russey Keo,,,,Cambodia,,,,,,,
TG-000001G,BNP (Bore Pile),BNP (Bore Pile),,,Toul Sangke,,,,Cambodia,,,,,,,
TG-000001H,BNP (Bore Pile),BNP (Bore Pile),,,Prek Leap,,,,Cambodia,,,,,,,
TG-000001I,BNP (Bore Pile),BNP (Bore Pile),,,Phnom Penh Tmey,,,,Cambodia,,,,,,,
TG-000001J,BNP (Bore Pile),BNP (Bore Pile),,,Wat Khmounh,,,,Cambodia,,,,,,,
